3 2 100
number of machines at each stage in each factory:
3,2
1,1
3,2
speed of each machine:
1.1,1.5,1.0
1.4,1.1
1.3
1.2
1.0,1.3,1.1
1.3,1.5
power consumption of each machine:
5,9,7
5,7
7
9
5,6,10
7,10
standom processing time of each job at each stage:
18,46
41,50
27,24
19,14
13,14
49,16
50,42
13,32
27,37
43,32
25,23
10,20
50,17
48,25
50,10
33,43
41,45
40,11
13,32
20,30
26,17
20,49
32,25
13,20
44,33
48,17
38,21
10,47
42,35
47,49
15,19
20,34
39,39
46,12
29,26
45,32
38,22
26,22
22,37
50,48
25,36
17,37
35,23
14,50
13,22
42,36
16,27
45,27
25,25
45,44
38,22
36,12
33,25
31,47
36,19
35,18
39,30
12,28
11,29
41,30
33,29
50,47
24,23
47,14
29,25
47,40
39,26
47,39
12,38
42,41
15,50
15,17
18,41
26,29
17,30
49,17
21,27
13,49
22,47
40,11
41,15
38,37
35,13
25,38
26,19
33,32
49,25
37,45
36,17
12,17
50,21
12,40
19,32
34,33
15,50
43,39
44,13
26,31
48,10
35,15
