2 2 100
number of machines at each stage in each factory:
4,5
1,2
speed of each machine:
1.2,1.1,1.0,1.1
1.2,1.3,1.2,1.3,1.1
1.4
1.1,1.1
power consumption of each machine:
6,6,5,9
5,5,10,8,7
6
6,8
standom processing time of each job at each stage:
22,36
26,28
25,10
14,35
44,33
17,36
35,50
32,19
13,49
33,46
37,47
29,48
18,42
44,20
33,25
33,35
17,38
20,42
34,33
11,23
13,10
23,16
31,16
12,22
37,31
21,17
23,18
21,22
30,40
46,49
17,14
28,42
23,20
33,27
17,34
20,38
30,42
22,11
40,34
28,43
12,38
49,44
20,42
28,32
16,12
17,49
25,15
27,30
32,47
23,43
30,20
42,35
31,49
42,29
35,24
23,30
16,23
25,34
19,12
17,15
46,47
31,50
23,37
23,50
24,33
26,38
13,12
24,10
39,21
45,39
43,12
30,29
42,38
28,41
38,40
20,18
45,42
18,30
23,25
10,29
34,30
25,40
37,24
29,36
32,17
45,44
46,46
42,29
13,34
29,47
40,48
49,15
25,33
42,20
12,34
44,40
27,14
10,24
27,49
45,27
