2 2 100
number of machines at each stage in each factory:
4,2
3,3
speed of each machine:
1.0,1.3,1.4,1.0
1.4,1.4
1.3,1.2,1.1
1.1,1.1,1.2
power consumption of each machine:
9,7,6,9
10,7
9,7,6
7,8,9
standom processing time of each job at each stage:
19,26
30,26
13,13
37,16
30,40
18,19
24,26
23,19
24,14
49,30
21,26
37,36
50,32
15,36
33,13
40,39
16,15
32,46
17,22
50,16
46,15
13,42
38,45
26,22
36,16
24,33
34,35
12,38
27,16
46,50
31,29
37,45
17,24
39,27
26,11
25,25
19,50
48,24
16,47
36,18
40,40
21,17
45,30
28,17
22,42
18,31
50,24
24,49
42,47
29,34
26,44
22,14
40,32
19,50
21,30
20,25
30,45
16,21
35,17
40,45
47,15
22,44
14,19
22,49
12,28
32,46
30,27
11,20
36,43
31,49
22,14
15,30
17,46
38,38
23,19
14,47
22,45
38,29
35,44
18,49
46,41
47,37
45,39
23,25
33,19
23,29
11,47
41,32
33,10
34,22
15,38
39,17
21,26
19,15
27,38
39,22
26,29
25,16
17,29
20,24
