4,50
4,2,2,3
60,20,60,54
3300,1500,1650,2340
3300,1500,1650,2340
3300,1500,1650,2340
3300,1500,1650,2340
3300,1500,1650,2340
3300,1500,1650,2340
3300,1500,1650,2340
3300,1500,1650,2340
2640,1080,1320,1680
2640,1080,1320,1680
2640,1080,1320,1680
2640,1080,1320,1680
2640,1080,1320,1680
2640,1080,1320,1680
2640,1080,1320,1680
2640,1080,1320,1680
2640,1080,1320,1680
4800,2280,2400,3420
4800,2280,2400,3420
4800,2280,2400,3420
4440,2160,2220,2880
4440,2160,2220,2880
4440,2160,2220,2880
4440,2160,2220,2880
4440,2160,2220,2880
2640,1200,1320,1800
2640,1200,1320,1800
2640,1200,1320,1800
2640,1200,1320,1800
2640,1200,1320,1800
2640,1200,1320,1800
2400,1140,1200,1740
2400,1140,1200,1740
2400,1140,1200,1740
2400,1140,1200,1740
2400,1140,1200,1740
2400,1140,1200,1740
2400,1140,1200,1740
2400,1140,1200,1740
2700,1260,1350,3000
2700,1260,1350,3000
2700,1260,1350,3000
2700,1260,1350,3000
2700,1260,1350,3000
4920,2400,2460,3600
4920,2400,2460,3600
4920,2400,2460,3600
4920,2400,2460,3600
4920,2400,2460,3600
4920,2400,2460,3600
